CustomerKey,Prefix,FirstName,LastName,BirthDate,MaritalStatus,Gender,EmailAddress,AnnualIncome,TotalChildren,EducationLevel,Occupation,HomeOwner,Full Name,Domain Name,Parent,Customer Priority,Income Level,Education Category,Full Name (cc),Birth Year
11009,Mr.,Shannon,Carlson,"Wednesday, April 1, 1964",S,M,shannon38@adventure-works.com,70000,0,Bachelors,Professional,N,Mr. Shannon Carlson,Adventure Works,No,Standard,Average,Undergrad,Mr. Shannon Carlson,1964
11106,Mr.,Jessie,Liu,"Friday, September 11, 1964",S,M,jessie9@adventure-works.com,70000,0,Bachelors,Professional,N,Mr. Jessie Liu,Adventure Works,No,Standard,Average,Undergrad,Mr. Jessie Liu,1964
11109,Mr.,Ruben,Kapoor,"Tuesday, November 5, 1963",S,M,ruben1@adventure-works.com,70000,0,Bachelors,Professional,N,Mr. Ruben Kapoor,Adventure Works,No,Standard,Average,Undergrad,Mr. Ruben Kapoor,1963
11451,Mr.,Ruben,Muñoz,"Saturday, November 9, 1974",S,M,ruben30@adventure-works.com,70000,0,Bachelors,Professional,N,Mr. Ruben Muñoz,Adventure Works,No,Standard,Average,Undergrad,Mr. Ruben Muñoz,1974
11916,Mr.,Joe,Rana,"Tuesday, September 7, 1965",S,M,joe14@adventure-works.com,70000,0,Bachelors,Professional,N,Mr. Joe Rana,Adventure Works,No,Standard,Average,Undergrad,Mr. Joe Rana,1965
12004,Mr.,Jarrod,Suri,"Friday, December 20, 1963",S,M,jarrod0@adventure-works.com,70000,0,Bachelors,Professional,N,Mr. Jarrod Suri,Adventure Works,No,Standard,Average,Undergrad,Mr. Jarrod Suri,1963
12337,Mr.,Dustin,Goldstein,"Thursday, October 9, 1975",S,M,dustin20@adventure-works.com,70000,0,Bachelors,Professional,N,Mr. Dustin Goldstein,Adventure Works,No,Standard,Average,Undergrad,Mr. Dustin Goldstein,1975
12339,Mr.,Clayton,Jai,"Thursday, July 8, 1976",S,M,clayton29@adventure-works.com,70000,0,Bachelors,Professional,N,Mr. Clayton Jai,Adventure Works,No,Standard,Average,Undergrad,Mr. Clayton Jai,1976
12669,Mr.,Irving,Schmidt,"Thursday, March 4, 1976",S,M,irving0@adventure-works.com,70000,0,Bachelors,Professional,N,Mr. Irving Schmidt,Adventure Works,No,Standard,Average,Undergrad,Mr. Irving Schmidt,1976
12671,Mr.,Alan,Huang,"Monday, February 11, 1974",S,M,alan10@adventure-works.com,70000,0,Bachelors,Professional,N,Mr. Alan Huang,Adventure Works,No,Standard,Average,Undergrad,Mr. Alan Huang,1974
13103,Mr.,Brendan,Raji,"Friday, August 2, 1963",S,M,brendan19@adventure-works.com,70000,0,Bachelors,Professional,N,Mr. Brendan Raji,Adventure Works,No,Standard,Average,Undergrad,Mr. Brendan Raji,1963
13104,Mr.,Gregory,Becker,"Friday, April 12, 1963",S,M,gregory24@adventure-works.com,70000,0,Bachelors,Professional,N,Mr. Gregory Becker,Adventure Works,No,Standard,Average,Undergrad,Mr. Gregory Becker,1963
13124,Mr.,Marco,Vance,"Sunday, March 1, 1964",S,M,marco4@adventure-works.com,70000,0,Bachelors,Professional,N,Mr. Marco Vance,Adventure Works,No,Standard,Average,Undergrad,Mr. Marco Vance,1964
13125,Mr.,Alejandro,Hu,"Wednesday, July 8, 1964",S,M,alejandro23@adventure-works.com,70000,0,Bachelors,Professional,N,Mr. Alejandro Hu,Adventure Works,No,Standard,Average,Undergrad,Mr. Alejandro Hu,1964
13127,Mr.,Shane,Fernandez,"Thursday, December 10, 1964",S,M,shane18@adventure-works.com,70000,0,Bachelors,Professional,N,Mr. Shane Fernandez,Adventure Works,No,Standard,Average,Undergrad,Mr. Shane Fernandez,1964
13618,Mr.,Jay,Raman,"Sunday, November 14, 1976",S,M,jay19@adventure-works.com,70000,0,Bachelors,Professional,N,Mr. Jay Raman,Adventure Works,No,Standard,Average,Undergrad,Mr. Jay Raman,1976
13620,Mr.,Damien,Ye,"Sunday, February 1, 1976",S,M,damien7@adventure-works.com,70000,0,Bachelors,Professional,N,Mr. Damien Ye,Adventure Works,No,Standard,Average,Undergrad,Mr. Damien Ye,1976
13969,Mr.,Roy,Martinez,"Sunday, February 11, 1968",S,M,roy18@adventure-works.com,70000,0,Bachelors,Professional,N,Mr. Roy Martinez,Adventure Works,No,Standard,Average,Undergrad,Mr. Roy Martinez,1968
13970,Mr.,Pedro,Rana,"Wednesday, April 17, 1968",S,M,pedro11@adventure-works.com,70000,0,Bachelors,Professional,N,Mr. Pedro Rana,Adventure Works,No,Standard,Average,Undergrad,Mr. Pedro Rana,1968
13972,Mr.,Eugene,Liang,"Friday, April 2, 1965",S,M,eugene21@adventure-works.com,70000,0,Bachelors,Professional,N,Mr. Eugene Liang,Adventure Works,No,Standard,Average,Undergrad,Mr. Eugene Liang,1965
14058,Mr.,Johnny,Anand,"Monday, June 14, 1965",S,M,johnny23@adventure-works.com,70000,0,Bachelors,Professional,N,Mr. Johnny Anand,Adventure Works,No,Standard,Average,Undergrad,Mr. Johnny Anand,1965
14216,Mr.,Edwin,Zheng,"Wednesday, November 6, 1974",S,M,edwin20@adventure-works.com,70000,0,Bachelors,Professional,N,Mr. Edwin Zheng,Adventure Works,No,Standard,Average,Undergrad,Mr. Edwin Zheng,1974
14315,Mr.,Carl,Chander,"Saturday, July 4, 1964",S,M,carl15@adventure-works.com,70000,0,Bachelors,Professional,N,Mr. Carl Chander,Adventure Works,No,Standard,Average,Undergrad,Mr. Carl Chander,1964
15121,Mr.,Brendan,Andersen,"Thursday, June 17, 1976",S,M,brendan11@adventure-works.com,70000,0,Bachelors,Professional,N,Mr. Brendan Andersen,Adventure Works,No,Standard,Average,Undergrad,Mr. Brendan Andersen,1976
15219,Mr.,Clayton,Chen,"Monday, February 22, 1965",S,M,clayton2@adventure-works.com,70000,0,Bachelors,Professional,N,Mr. Clayton Chen,Adventure Works,No,Standard,Average,Undergrad,Mr. Clayton Chen,1965
15220,Mr.,Micah,Liu,"Thursday, September 10, 1964",S,M,micah14@adventure-works.com,70000,0,Bachelors,Professional,N,Mr. Micah Liu,Adventure Works,No,Standard,Average,Undergrad,Mr. Micah Liu,1964
15221,Mr.,Troy,Arun,"Wednesday, March 11, 1964",S,M,troy7@adventure-works.com,70000,0,Bachelors,Professional,N,Mr. Troy Arun,Adventure Works,No,Standard,Average,Undergrad,Mr. Troy Arun,1964
15224,Mr.,Pedro,Gutierrez,"Sunday, February 9, 1964",S,M,pedro31@adventure-works.com,70000,0,Bachelors,Professional,N,Mr. Pedro Gutierrez,Adventure Works,No,Standard,Average,Undergrad,Mr. Pedro Gutierrez,1964
15602,Mr.,Warren,Wu,"Thursday, January 18, 1968",S,M,warren23@adventure-works.com,70000,0,Bachelors,Professional,N,Mr. Warren Wu,Adventure Works,No,Standard,Average,Undergrad,Mr. Warren Wu,1968
15607,Mr.,Ricky,Gill,"Tuesday, September 22, 1964",S,M,ricky14@adventure-works.com,70000,0,Bachelors,Professional,N,Mr. Ricky Gill,Adventure Works,No,Standard,Average,Undergrad,Mr. Ricky Gill,1964
15716,Mr.,Roy,Madan,"Friday, June 20, 1975",S,M,roy8@adventure-works.com,70000,0,Bachelors,Professional,N,Mr. Roy Madan,Adventure Works,No,Standard,Average,Undergrad,Mr. Roy Madan,1975
16180,Mr.,Kyle,Perez,"Sunday, August 22, 1965",S,M,kyle33@adventure-works.com,70000,0,Bachelors,Professional,N,Mr. Kyle Perez,Adventure Works,No,Standard,Average,Undergrad,Mr. Kyle Perez,1965
16609,Mr.,Gary,Jimenez,"Tuesday, August 13, 1974",S,M,gary16@adventure-works.com,70000,0,Bachelors,Professional,N,Mr. Gary Jimenez,Adventure Works,No,Standard,Average,Undergrad,Mr. Gary Jimenez,1974
16700,Mr.,Billy,Gill,"Friday, June 21, 1963",S,M,billy15@adventure-works.com,70000,0,Bachelors,Professional,N,Mr. Billy Gill,Adventure Works,No,Standard,Average,Undergrad,Mr. Billy Gill,1963
17007,Mr.,Samuel,Hayes,"Friday, June 21, 1968",S,M,samuel22@adventure-works.com,70000,0,Bachelors,Professional,N,Mr. Samuel Hayes,Adventure Works,No,Standard,Average,Undergrad,Mr. Samuel Hayes,1968
17008,Mr.,Connor,Turner,"Sunday, April 28, 1968",S,M,connor34@adventure-works.com,70000,0,Bachelors,Professional,N,Mr. Connor Turner,Adventure Works,No,Standard,Average,Undergrad,Mr. Connor Turner,1968
17068,Mr.,Thomas,Smith,"Monday, September 2, 1968",S,M,thomas60@adventure-works.com,70000,0,Bachelors,Professional,N,Mr. Thomas Smith,Adventure Works,No,Standard,Average,Undergrad,Mr. Thomas Smith,1968
